,lyric,clean_lyric
1979,I'd never walk Cornelia Street again,walk cornelia street
1980,That's the kinda heartbreak time could never mend,kinda heartbreak mend
1981,I'd never walk Cornelia Street again,walk cornelia street
1982,"And baby, I get mystified by how this city screams your name",baby mystified city screams
1983,"And baby, I'm so terrified of if you ever walk away",baby terrified walk
1984,I'd never walk Cornelia Street again,walk cornelia street
1985,I'd never walk Cornelia Street again,walk cornelia street
1986,You hold my hand on the street,hold street
1987,Walk me back to that apartment,walk apartment
1988,"Years ago, we were just inside",years ago inside
1989,Barefoot in the kitchen,barefoot kitchen
1990,Sacred new beginnings,sacred
1991,"That became my religion, listen",religion listen
1992,I hope I never lose you,lose
1993,I'd never walk Cornelia Street again,walk cornelia street
1994,"Oh, never again",
1995,"And baby, I get mystified by how this city screams your name",baby mystified city screams
1996,"And baby, I'm so terrified of if you ever walk away",baby terrified walk
1997,I'd never walk Cornelia Street again,walk cornelia street
1998,I'd never walk Cornelia Street again,walk cornelia street
1999,I don't wanna lose you (Hope it never ends),lose
2000,I'd never walk Cornelia Street again,walk cornelia street
2001,I don't wanna lose you (Yeah),lose
2002,"""I rent a place on Cornelia Street""",cornelia street
2003,I say casually in the car,casually car
2004,You are somebody that I don't know,
2005,But you're takin' shots at me like it's Patrón,shots patrón
2006,"And I'm just like, damn, it's 7 AM",damn 7
2007,"Say it in the street, that's a knock-out",street knockout
2008,"But you say it in a Tweet, that's a cop-out",tweet copout
2009,"And I'm just like, ""Hey, are you okay?""",
2010,And I ain't tryna mess with your self-expression,tryna mess selfexpression
2011,But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun,learned lesson stressin obsessin fun
2012,And snakes and stones never broke my bones,snakes stones broke bones
2013,"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",
2014,"You need to calm down, you're being too loud",calm loud
2015,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)",
2016,"You need to just stop, like can you just not step on my gown?",step gown
2017,You need to calm down,calm
2018,You are somebody that we don't know,
2019,But you're comin' at my friends like a missile,friends missile
2020,Why are you mad when you could be GLAAD? (You could be GLAAD),glaad glaad
2021,Sunshine on the street at the parade,sunshine street parade
2022,But you would rather be in the dark ages,dark
2023,Makin' that sign must've taken all night,makin mustve night
2024,You just need to take several seats and then try to restore the peace,seats restore peace
2025,And control your urges to scream about all the people you hate,control urges scream people
2026,'Cause shade never made anybody less gay,shade gay
2027,"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",
2028,"You need to calm down, you're being too loud",calm loud
2029,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)",
2030,"You need to just stop, like can you just not step on his gown?",step gown
2031,You need to calm down,calm
2032,And we see you over there on the internet,internet
2033,Comparing all the girls who are killing it,comparing girls killing
2034,But we figured you out,figured
2035,We all know now we all got crowns,crowns
2036,You need to calm down,calm
2037,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",
2038,You need to calm down (You need to calm down),calm calm
2039,You're being too loud (You're being too loud),loud loud
2040,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)",
2041,You need to just stop (Can you stop?),
2042,Like can you just not step on our gowns?,step gowns
2043,You need to calm down,calm
2044,"I blew things out of proportion, now you're blue",blew things proportion blue
2045,Put you in jail for something you didn’t do,jail didnt
2046,"I pinned your hands behind your back, oh",pinned hands
2047,"Thought I had reason to attack, but no",thought attack
2048,Fighting with a true love is boxing with no gloves,fighting true love boxing gloves
2049,"Chemistry 'til it blows up, 'til there’s no us",chemistry blows
2050,Why'd I have to break what I love so much?,whyd break love
2051,"It's on your face, and I'm to blame, I need to say",face blame
2052,"Hey, it's all me, in my head",head
2053,I'm the one who burned us down,burned
2054,But it's not what I meant,
2055,Sorry that I hurt you,hurt
2056,"I don't wanna do, I don’t wanna do this to you (Ooh)",dont
2057,"I don’t wanna lose, I don't wanna lose this with you (Ooh)",dont lose lose
2058,"I need to say, hey, it’s all me, just don't go",
2059,Meet me in the afterglow,meet afterglow
2060,It's so excruciating to see you low,excruciating
2061,Just wanna lift you up and not let you go,lift
2062,This ultraviolet morning light below,ultraviolet morning
2063,"Tells me this love is worth the fight, oh",tells love worth fight
2064,"I lived like an island, punished you with silence",lived island punished silence
2065,"Went off like sirens, just crying",sirens crying
2066,Why'd I have to break what I love so much?,whyd break love
2067,"It’s on your face, don't walk away, I need to say",face walk
2068,"Hey, it's all me, in my head",head
2069,I'm the one who burned us down,burned
2070,But it's not what I meant,
2071,I'm sorry that I hurt you,hurt
2072,"I don't wanna do, I don't wanna do this to you (Ooh)",
2073,"I don't wanna lose, I don't wanna lose this with you (Ooh)",lose lose
2074,"I need to say, hey, it's all me, just don't go",
2075,Meet me in the afterglow,meet afterglow
2076,Tell me that you're still mine,mine
2077,Tell me that we'll be just fine,fine
2078,Even when I lose my mind,lose mind
2079,I need to say,
2080,Tell me that it's not my fault,fault
2081,Tell me that I'm all you want,
2082,Even when I break your heart,break heart
2083,I need to say,
2084,"Hey, it's all me, in my head",head
2085,I'm the one who burned us down,burned
2086,But it's not what I meant,
2087,Sorry that I hurt you,hurt
2088,"I don't wanna do, I don't wanna do this to you (Ooh)",
2089,"I don't wanna lose, I don't wanna lose this with you (Ooh)",lose lose
2090,"I need to say, hey, it's all me, just don't go",
2091,Meet me in the afterglow,meet afterglow
2092,Long were the nights when,nights
2093,My days once revolved around you,days revolved
2094,Counting my footsteps,counting footsteps
2095,Praying the floor won't fall through... again,praying floor fall
2096,My mother accused me of losing my mind,mother accused losing mind
2097,But I swore I was fine,swore fine
2098,You paint me a blue sky,paint blue sky
2099,Then go back and turn it to rain,turn rain
2100,And I lived in your chess game,lived chess game
2101,But you changed the rules everyday,changed rules everyday
2102,"Wonderin' which version of you I might get on the phone, tonight",wonderin version phone tonight
2103,"Well, I stopped pickin' up and this song is to let you know why",stopped pickin song
2104,"Dear John, I see it all now that you're gone",dear john
2105,Don't you think I was too young to be messed with?,young messed
2106,The girl in the dress cried the whole way home,girl dress cried
2107,I shoulda known,shoulda
2108,"Well, maybe it's me",
2109,And my blind optimism to blame,blind optimism blame
2110,Or maybe it's you and your sick need,sick
2111,To give love and take it away,love
2112,And you'll add my name to your long list of traitors,list traitors
2113,Who don't understand,understand
2114,And I look back in regret how I ignored when they said,regret
2115,"""Run as fast as you can""",fast
2116,"Dear John, I see it all now that you're gone",dear john
2117,Don't you think I was too young to be messed with?,young messed
2118,The girl in the dress cried the whole way home,girl dress cried
2119,"Dear John, I see it all now, it was wrong",dear john wrong
2120,Don't you think nineteen's too young,nineteens young
2121,"To be played by your dark, twisted games",played dark twisted games
2122,When I loved you so?,loved
2123,I shoulda known,shoulda
2124,You are an expert at sorry,expert
2125,And keeping lines blurry,keeping lines blurry
2126,Never impressed by me acing your tests,impressed acing tests
2127,All the girls that you've run dry have tired lifeless eyes,girls dry tired lifeless eyes
2128,'Cause you burned them out,burned
2129,But I took your matches,matches
2130,Before fire could catch me,fire catch
2131,So don't look now,
2132,I'm shining like fireworks,shining fireworks
2133,"Over your sad empty town, yeah",sad empty town
2134,"Oh, oh, oh, oh, oh, oh",
2135,"Dear John, I see it all now that you're gone",dear john
2136,Don't you think I was too young to be messed with?,young messed
2137,The girl in the dress cried the whole way home,girl dress cried
2138,I see it all now that you're gone,
2139,Don't you think I was too young to be messed with?,young messed
2140,The girl in the dress wrote you a song,girl dress wrote song
2141,You shoulda known,shoulda
2142,You shoulda known,shoulda
2143,Don't you think I was too young?,young
2144,You shoulda known,shoulda
2145,"You, with your words like knives",knives
2146,And swords and weapons that you use against me,swords weapons
2147,You have knocked me off my feet again,knocked feet
2148,Got me feeling like I'm nothing,feeling
2149,"You, with your voice like nails on a chalkboard",voice nails chalkboard
2150,Calling me out when I'm wounded,calling wounded
2151,"You, picking on the weaker man",picking weaker
2152,"Well, you can take me down",
2153,With just one single blow,single blow
2154,But you don't know what you don't know,
2155,"Someday, I'll be living in a big old city",someday living big city
2156,And all you're ever gonna be is mean,
2157,"Someday, I'll be big enough so you can't hit me",someday big
2158,And all you're ever gonna be is mean,
2159,Why you gotta be so mean?,gotta
2160,"You, with your switching sides",switching
2161,And your wildfire lies and your humiliation,wildfire lies humiliation
2162,You have pointed out my flaws again,pointed flaws
2163,As if I don't already see them,
2164,"I walk with my head down, trying to block you out",walk head block
2165,'Cause I'll never impress you,impress
2166,I just wanna feel okay again,feel
2167,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
2168,I bet you got pushed around,pushed
2169,Somebody made you cold,cold
2170,But the cycle ends right now,cycle
2171,'Cause you can't lead me down that road,lead road
2172,And you don't know what you don't know,
2173,"Someday, I'll be living in a big old city",someday living big city
2174,And all you're ever gonna be is mean,
2175,"Someday, I'll be big enough so you can't hit me",someday big
2176,And all you're ever gonna be is mean,
2177,Why you gotta be so mean?,gotta
2178,And I can see you years from now in a bar,years bar
2179,Talking over a football game,talking football game
2180,With that same big loud opinion,big loud opinion
2181,But nobody's listening,nobodys listening
2182,Washed up and ranting about the same old bitter things,washed ranting bitter things
2183,Drunk and grumbling on about how I can't sing,drunk grumbling
2184,But all you are is mean,
2185,All you are is mean,
2186,"And a liar, and pathetic, and alone in life",liar pathetic life
2187,"And mean, and mean, and mean, and mean",
2188,"But someday, I'll be living in a big old city",someday living big city
2189,"And all you're ever gonna be is mean, yeah",
2190,"Someday, I'll be big enough so you can't hit me",someday big
2191,And all you're ever gonna be is mean,
2192,Why you gotta be so mean?,gotta
2193,"Someday, I'll be living in a big old city",someday living big city
2194,(Why you gotta be so mean?),gotta
2195,And all you're ever gonna be is mean,
2196,(Why you gotta be so mean?),gotta
2197,"Someday, I'll be big enough so you can't hit me",someday big
2198,(Why you gotta be so mean?),gotta
2199,And all you're ever gonna be is mean,
2200,Why you gotta be so mean?,gotta
2201,You and I walk a fragile line,walk fragile
2202,I have known it all this time,
2203,But I never thought I'd live to see it break,thought live break
2204,It's getting dark and it's all too quiet,dark quiet
2205,And I can't trust anything now,trust
2206,And it's coming over you like it's all a big mistake,big mistake
2207,"Whoa, holding my breath",holding breath
2208,Won't lose you again,lose
2209,Something's made your eyes go cold,somethings eyes cold
2210,"Come on, come on, don't leave me like this",leave
2211,I thought I had you figured out,thought figured
2212,Something's gone terribly wrong,somethings terribly wrong
2213,You're all I wanted,wanted
2214,"Come on, come on, don't leave me like this",leave
2215,I thought I had you figured out,thought figured
2216,Can't breathe whenever you're gone,breathe
2217,"Can't turn back now, I'm haunted",turn haunted
2218,Stood there and watched you walk away,stood watched walk
2219,From everything we had,
2220,But I still mean every word I said to you,
2221,He will try to take away my pain,pain
2222,And he just might make me smile,smile
2223,"But the whole time, I'm wishing it was you instead",wishing
2224,"Oh, holding my breath",holding breath
2225,Won't see you again,
2226,Something keeps me holding onto nothing,holding
2227,"Come on, come on, don't leave me like this",leave
2228,I thought I had you figured out,thought figured
2229,Something's gone terribly wrong,somethings terribly wrong
2230,You're all I wanted,wanted
2231,"Come on, come on, don't leave me like this",leave
2232,I thought I had you figured out,thought figured
2233,Can't breathe whenever you're gone,breathe
2234,"Can't turn back now, I'm haunted",turn haunted
2235,I know,
2236,I know,
2237,I just know,
2238,"You're not gone, you can't be gone, no",
2239,"Come on, come on, don't leave me like this",leave
2240,I thought I had you figured out,thought figured
2241,Something's gone terribly wrong,somethings terribly wrong
2242,Won't finish what you started,finish started
2243,"Come on, come on, don't leave me like this",leave
2244,I thought I had you figured out,thought figured
2245,Can't breathe whenever you're gone,breathe
2246,"Can't go back, I'm haunted",haunted
2247,"(Oh, oh, oh, oh, oh, oh, oh, oh, oh)",
2248,You and I walk a fragile line,walk fragile
2249,I have known it all this time,
2250,Never ever thought I'd see it break,thought break
2251,Never thought I'd see it,thought
2252,"Last night, I heard my own heart beating",night heard heart beating
2253,Sounded like footsteps on my stairs,sounded footsteps stairs
2254,Six months gone and I'm still reaching,months reaching
2255,Even though I know you're not there,
2256,"I was playing back a thousand memories, baby",playing memories baby
2257,Thinkin' 'bout everything we've been through,thinkin
2258,Maybe I've been going back too much lately,
2259,When time stood still and I had you,stood
2260,"Come back, come back, come back to me like",
2261,"You would, you would if this was a movie",movie
2262,Stand in the rain outside till I came out,stand rain
2263,"Come back, come back, come back to me like",
2264,"You could, you could if you just said you're sorry",
2265,I know that we could work it out somehow,work
2266,But if this was a movie you'd be here by now,movie
2267,I know people change and these things happen,people things
2268,But I remember how it was back then,remember
2269,Wrapped up in your arms and our friends were laughing,wrapped arms friends laughing
2270,'Cause nothing like this ever happened to them,happened
2271,"Now I'm pacing down the hall, chasing down your street",pacing chasing street
2272,Flashback to the night when you said to me,flashback night
2273,"""Nothing's gonna change, not for me and you""",nothings
2274,Not before I knew how much I had to lose,knew lose
2275,"Come back, come back, come back to me like",
2276,"You would, you would if this was a movie",movie
2277,Stand in the rain outside till I came out,stand rain
2278,"Come back, come back, come back to me like",
2279,"You could, you could if you just said you're sorry",
2280,I know that we could work it out somehow,work
2281,But if this was a movie you'd be here by now,movie
2282,"If you're out there, if you're somewhere, if you're moving on",moving
2283,I've been waiting for you every day since you've been gone,waiting day
2284,I just want it back the way it was before,
2285,And I just want to see you back at my front door,front door
2286,"And I say, ""Come back, come back, come back to me like",
2287,You would before you said it's not that easy,easy
2288,"Before the fight, before I locked you out""",fight locked
2289,But I take it all back now,
2290,"Come back, come back, come back to me like",
2291,"You would, you would if this was a movie",movie
2292,Stand in the rain outside till I came out,stand rain
2293,"Come back, come back, come back to me like",
2294,"You could, you could if you just said you're sorry",
2295,I know that we could work it out somehow,work
2296,But if this was a movie you'd be here by now,movie
2297,You'd be here by now,
2298,It's not the kind of ending you want to see now,kind
2299,"Baby, what about the ending?",baby
2300,"Oh, I thought you'd be here by now",thought
2301,Thought you'd be here by now,thought
