,lyric,clean_lyric
400,Bye bye baby,bye bye baby
401,Bye bye baby,bye bye baby
402,"Once upon a time, a few mistakes ago",mistakes ago
403,"I was in your sights, you got me alone",sights
404,"You found me, you found me, you found me",
405,"I guess you didn't care, and I guess I liked that",guess care guess
406,"And when I fell hard, you took a step back",fell step
407,"Without me, without me, without me",
408,And he's long gone when he's next to me,
409,And I realize the blame is on me,realize blame
410,'Cause I knew you were trouble when you walked in,knew trouble walked
411,So shame on me now,shame
412,Flew me to places I'd never been,flew places
413,"'Til you put me down, oh",
414,I knew you were trouble when you walked in,knew trouble walked
415,So shame on me now,shame
416,Flew me to places I'd never been,flew places
417,Now I'm lying on the cold hard ground,lying cold ground
418,"Oh, oh-oh",
419,"Trouble, trouble, trouble",trouble trouble trouble
420,"Oh, oh-oh",
421,"Trouble, trouble, trouble",trouble trouble trouble
422,"No apologies, he'll never see you cry",apologies cry
423,Pretends he doesn't know that he's the reason why,pretends
424,"You're drowning, you're drowning, you're drowning",drowning drowning drowning
425,And I heard you moved on from whispers on the street,heard moved whispers street
426,A new notch in your belt is all I'll ever be,notch belt
427,"And now I see, now I see, now I see",
428,He was long gone when he met me,
429,"And I realize the joke is on me, hey",realize joke
430,I knew you were trouble when you walked in (Oh),knew trouble walked
431,So shame on me now,shame
432,Flew me to places I'd never been,flew places
433,"'Til you put me down, oh",
434,I knew you were trouble when you walked in,knew trouble walked
435,So shame on me now,shame
436,Flew me to places I'd never been (Yeah),flew places
437,Now I'm lying on the cold hard ground,lying cold ground
438,"Oh, oh-oh (Yeah)",
439,"Trouble, trouble, trouble",trouble trouble trouble
440,"Oh, oh-oh",
441,"Trouble, trouble, trouble",trouble trouble trouble
442,And the saddest fear,saddest fear
443,Comes creeping in,creeping
444,That you never loved me,loved
445,"Or her, or anyone, or anything",
446,Yeah,
447,I knew you were trouble when you walked in,knew trouble walked
448,So shame on me now,shame
449,Flew me to places I'd never been (Never been),flew places
450,"'Til you put me down, oh",
451,I knew you were trouble when you walked in (Knew it right there),knew trouble walked knew
452,So shame on me now (Knew it right there),shame knew
453,Flew me to places I'd never been (Ooh),flew places
454,Now I'm lying on the cold hard ground,lying cold ground
455,"Oh, oh-oh",
456,"Trouble, trouble, trouble (Oh)",trouble trouble trouble
457,"Oh, oh-oh",
458,"Trouble, trouble, trouble",trouble trouble trouble
459,I knew you were trouble when you walked in,knew trouble walked
460,"Trouble, trouble, trouble",trouble trouble trouble
461,I knew you were trouble when you walked in,knew trouble walked
462,"Trouble, trouble, trouble",trouble trouble trouble
463,"I bet this time of night, you’re still up",night
464,I bet you’re tired from a long hard week,tired week
465,I bet you’re sittin' in your chair by the window,sittin chair window
466,"Looking out at the city, and I bet",city
467,Sometimes you wonder 'bout me,
468,And I just wanna tell you,
469,It takes everything in me not to call you,takes
470,And I wish I could run to you,
471,And I hope you know that,
472,"Every time I don’t, I almost do, I almost do",dont
473,I bet you think I either moved on or hate you,moved
474,"‘Cause each time you reach out, there’s no reply",reach reply
475,"I bet it never, ever occurred to you",occurred
476,That I can’t say hello to you and risk another goodbye,risk goodbye
477,And I just wanna tell you,
478,It takes everything in me not to call you,takes
479,And I wish I could run to you,
480,And I hope you know that,
481,"Every time I don’t, I almost do, I almost do",dont
482,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
483,"Oh, we made quite a mess, babe",mess babe
484,It’s probably better off this way,
485,"And I confess, babe",confess babe
486,"In my dreams, you’re touching my face",dreams touching face
487,And asking me if I want to try again with you,
